python,Python 2,<strong>Python&nbsp;2</strong>,the old Python,1,pypy,python,
pypy,PyPy,<strong>PyPy&nbsp;2</strong>,the old PyPy,1,python,pypy,
python3,Python 3,<strong>Python&nbsp;3</strong>,the new Python,1,pypy3,python3,
python35,Python 3.5,<strong>Python&nbsp;3.5</strong>,the new Python,1,python3,python35,
python-dev,Python dev,<strong>Python&nbsp;development version</strong>,the new Python,1,python3,python-dev,
pypy3,PyPy 3,<strong>PyPy&nbsp;3</strong>,the new Python JIT,1,python3,pypy3,
jython,Jython,<strong>Jython</strong>,Python on Java,1,python3,jython,
ipy,IronPython,<strong>IronPython</strong>,Python for .NET Framework,1,python,ipy,
cython,Cython,<strong>Cython</strong>,Python compiled to C,1,python3,cython,
nuitka,Nuitka,<strong>Nuitka</strong>,Nuitka compiler,1,cython,nuitka,
shedskin,Shedskin,<strong>Shedskin</strong>,Shedskin compiler,1,cython,shedskin,
numba,Numba,<strong>Numba</strong>,Numba JIT compiler,1,cython,numba,
pyston,Pyston,<strong>Pyston</strong>,Pyston,1,python,pyston,
micropython,MicroPython,<strong>MicroPython</strong>,MicroPython,1,python,micropython,
grumpy,Grumpy,<strong>Grumpy</strong>,Grumpy,1,python,grumpy,
graal,Graal,<strong>Graal</strong>,Graal,1,python,graal,
